Site,Geo Point,Geo Shape,Shape Length,Nom français
OLV,"48.92592267129338, 2.3344459889799216","{""coordinates"":[[2.33437957656679,48.9260029501012],[2.33434452626603,48.9259535795677],[2.3345487366863,48.925889371469],[2.33452749242815,48.925840081814]],""type"":""LineString""}",43.11086399347697,Olympique Village
OLV,"48.91774994466893, 2.3378654124238962","{""coordinates"":[[2.33800932563846,48.9169678633109],[2.33774202024758,48.917071380474],[2.33808226524628,48.9175085298098],[2.33680055798204,48.9179934526988],[2.336923510395,48.9181656421465],[2.33835416192659,48.9175537119575],[2.33914124601561,48.9182004282508],[2.33911024335852,48.9182837440833],[2.33903509838668,48.9183295400462]],""type"":""LineString""}",670.8163129391996,Olympique Village
OLV,"48.91797590572114, 2.337826166157586","{""coordinates"":[[2.33629426209804,48.9183061571271],[2.33639124691107,48.9183992991314],[2.33835991114442,48.9175504592787],[2.33913629629837,48.9181966496433],[2.33911519307572,48.9182875220939],[2.33903509838668,48.9183295400462]],""type"":""LineString""}",447.68404807244,Olympique Village
OLV,"48.92569480224329, 2.337141680534858","{""coordinates"":[[2.33740911541888,48.9259122099464],[2.33739148682318,48.9259185941885],[2.3373258073179,48.9258589741041],[2.33742893481082,48.9258003789272],[2.33719274436644,48.925625317783],[2.33692198495329,48.9257443470331],[2.33690230106879,48.9257328252299],[2.33710317784104,48.9256389130794],[2.33688462312231,48.9254702293869]],""type"":""LineString""}",173.70078278311894,Olympique Village
OLV,"48.918551395986846, 2.3358343254405805","{""coordinates"":[[2.33706544780316,48.9175690178449],[2.33721767181961,48.9177602495429],[2.33676161511617,48.9179401523029],[2.33691493687391,48.9181700925355],[2.33524183364041,48.9188462099785],[2.33423526866958,48.9192753994921],[2.33445747503998,48.9194323028208]],""type"":""LineString""}",526.8286635303687,Olympique Village
OLV,"48.91774950220579, 2.337760798736993","{""coordinates"":[[2.33730639482697,48.916858119122],[2.33717670235445,48.9169101095487],[2.33772202824095,48.917573815987],[2.33676374951327,48.9179422131038],[2.33694173811041,48.9181859962235],[2.33835312527074,48.9175628749473],[2.33914735635617,48.918196637837],[2.33913387444036,48.9182810711406],[2.33900671611529,48.9183620816654]],""type"":""LineString""}",676.5335071217,Olympique Village
OVL,"50.63059596359424, 3.1347272989071366","{""coordinates"":[[3.134362762247,50.6298950524115],[3.13493970761267,50.6305720275004],[3.13452467278451,50.6307319831668],[3.13479934937267,50.6310606938997],[3.13516552777026,50.6310528012672]],""type"":""LineString""}",295.19067407167734,Olympique Village
OVL,"50.63089922564796, 3.1349062869591484","{""coordinates"":[[3.13439559016299,50.6299262548033],[3.13496935633744,50.630591968418],[3.13454756856545,50.6307534948509],[3.13519810873129,50.6315314762512],[3.13569107631143,50.6317808415078]],""type"":""LineString""}",412.7352770253137,Olympique Village
OVL,"50.63094318848818, 3.1349478280927507","{""coordinates"":[[3.13449277133311,50.6300008344134],[3.13495522404137,50.6305800233342],[3.13454173939758,50.630727184185],[3.13518575330284,50.6314825258999],[3.1357513541653,50.6317964535375]],""type"":""LineString""}",401.0843692553003,Olympique Village
OVL,"50.63058548080643, 3.1347271024030956","{""coordinates"":[[3.1343436051341,50.629860836001],[3.13495386690004,50.6305807616637],[3.13452331654738,50.6307431785831],[3.13479217272188,50.6310571265002],[3.13517309163357,50.6310531701533]],""type"":""LineString""}",304.322039649684,Olympique Village
PDP,"48.84317548964959, 2.2515754291903405","{""coordinates"":[[2.25212891213789,48.8445331647676],[2.25149233538487,48.8433563682593],[2.2512706060199,48.8428762276865],[2.25134213167946,48.8426173260015],[2.25144226688418,48.8423725452323],[2.2514279621116,48.8423443013114],[2.25145657255509,48.8422736911437],[2.25143511449789,48.8421889591659],[2.25142080972531,48.8419771277073],[2.2514279621116,48.8417511735186]],""type"":""LineString""}",489.5803673141744,Programme de Paris
PDP,"48.84314644165763, 2.2515795385093673","{""coordinates"":[[2.25207795071182,48.8445209556077],[2.25145567873138,48.8432170632128],[2.25129117025339,48.8428828474067],[2.25144852544676,48.8424309455911],[2.2514199159016,48.8423462138793],[2.25150574633374,48.8422756037143],[2.25144852544676,48.8420826022072],[2.25143422067418,48.8417436715513]],""type"":""LineString""}",489.6042221664828,Programme de Paris
PDP,"48.84009835720795, 2.251541582529509","{""coordinates"":[[2.25372304986467,48.8387793854023],[2.25382318506939,48.8386616933579],[2.2533868796241,48.8386146164627],[2.25273599720017,48.8386146164627],[2.25189914734272,48.8386616933579],[2.25118389164551,48.8387087702088],[2.25091924706451,48.8404270432147],[2.25071897575674,48.8417074712471],[2.25068321292699,48.8421028909011],[2.25055446727878,48.8422017453268],[2.25054731399416,48.8422817700544],[2.250947857508,48.8421687934791],[2.25144138384026,48.8420793540762],[2.25143423145397,48.8417498373657]],""type"":""LineString""}",1091.6472441182564,Programme de Paris
