Nom du site,Geo Point,Geo Shape,Nom de l'arrêt
PESI,"46.8259811477908, 1.75971665432588","{""coordinates"": [1.75971665432588, 46.8259811477908], ""type"": ""Point""}",Village Olympique Châteauroux (OVC) - PFR-navettes
PESI,"46.82522846776, 1.75991030684664","{""coordinates"": [1.75991030684664, 46.82522846776], ""type"": ""Point""}",Village Olympique Châteauroux (OVC) - TC
PESI,"46.8255667956565, 1.75928022042151","{""coordinates"": [1.75928022042151, 46.8255667956565], ""type"": ""Point""}",Village Olympique Châteauroux (OVC) - PFR-PARKING
PESI,"46.8251526450074, 1.75939913131396","{""coordinates"": [1.75939913131396, 46.8251526450074], ""type"": ""Point""}",Village Olympique Châteauroux (OVC) - TX
PESI,"46.8257114169508, 1.75868587975819","{""coordinates"": [1.75868587975819, 46.8257114169508], ""type"": ""Point""}",Village Olympique Châteauroux (OVC) - TA
Piscine Georges Vallerey,"48.875952259112, 2.40719696543637","{""coordinates"": [2.40719696543637, 48.875952259112], ""type"": ""Point""}",
Piscine Georges Vallerey,"48.8756928700086, 2.40607516339972","{""coordinates"": [2.40607516339972, 48.8756928700086], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - P2LZ
Piscine Georges Vallerey,"48.8757819421454, 2.40656615288961","{""coordinates"": [2.40656615288961, 48.8757819421454], ""type"": ""Point""}",Piscine Georges Vallerey (GVA) - TA
Piscine Georges Vallerey,"48.8756933680676, 2.40606264088468","{""coordinates"": [2.40606264088468, 48.8756933680676], ""type"": ""Point""}",Venue_code_1 is unknown ( ) - TX
Piscine Olympique Municipale,"48.9262325078068, 2.23366596386754","{""coordinates"": [2.23366596386754, 48.9262325078068], ""type"": ""Point""}",Piscine Olympique Municipale  (PMC) - TX
Piscine Olympique Municipale,"48.9257556878486, 2.23297892874498","{""coordinates"": [2.23297892874498, 48.9257556878486], ""type"": ""Point""}",Piscine Olympique Municipale  (PMC) - TA
Piscine Olympique Municipale,"48.9262412660842, 2.23372637467208","{""coordinates"": [2.23372637467208, 48.9262412660842], ""type"": ""Point""}",Piscine Olympique Municipale  (PMC) - P2LZ
Piscine Olympique Municipale,"48.9263786715023, 2.23423795780282","{""coordinates"": [2.23423795780282, 48.9263786715023], ""type"": ""Point""}",Piscine Colombes
Place de Catalogne - AND,"48.8378730855666, 2.3190688211961","{""coordinates"": [2.3190688211961, 48.8378730855666], ""type"": ""Point""}",Place de Catalogne
